location ,sqft_area,price,bathrooms,rooms
 Vasundhara Sector 12 ,2900,245,3 Baths,4 BHK
"Vasundhra, Ghaziabad - Facing East",1900,89,3 Baths,3 BHK
NH 91,1450,59,2 Baths,3 BHK
NH 91,2200,125,3 Baths,4 BHK
Indirapuram,950,45,2 Baths,2 BHK
Vasundhara,1675,72.5,2 Baths,3 BHK
Vaishali sector 6,1275,57.89,2 Baths,3 BHK
Vasundhara,990,45,2 Baths,2 BHK
NH 91,2100,235,3 Baths,5 BHK
Niti khand,1525,63.21,3 Baths,3 BHK
Indirapuram,1800,145,4 Baths,4 BHK
Indirapuram,1600,105,3 Baths,8 BHK
"Vaishali, Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",1250,47,2 Baths,3 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",3500,180,4 Baths,5 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",660,24.5,1 Bath,2 BHK
Raj Nagar extension,2400,100,4 Baths,4 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",2200,100,3 Baths,4 BHK
Dundahera,950,23.35,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1775,92.91,3 Baths,4 BHK
Raj Nagar extension,955,30,1 Bath,2 BHK
Dundahera,950,19.5,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1200,75,2 Baths,3 BHK
Govindpuram,750,14.5,2 Baths,2 BHK
Shakti Khand ,2200,93,3 Baths,4 BHK
 Vaishali Sector 4 ,1700,121,3 Baths,3 BHK
Vasundhara,1600,73.1,3 Baths,4 BHK
Gyan Khand,1600,112,3 Baths,3 BHK
Vasundhara,1900,135,3 Baths,4 BHK
Shakti Khand 2,1495,84,2 Baths,3 BHK
Vasundhara Sector 5,1400,48.5,2 Baths,3 BHK
NH 91,2600,195,3 Baths,4 BHK
Ritesh Property And Developers Lal Kuan Ghaziabad,695,27.75,1 Bath,3 BHK
Lal Kua Ghaziabad - Gated Community,900,35,1 Bath,3 BHK
"Vaishali, Ghaziabad - Gated Community",1400,60,2 Baths,3 BHK
 Ahinsa Khand-2,4850,375,9 Baths,12 BHK
Vasundhara,1650,102,3 Baths,4 BHK
"Nh24 Ghaziabad, Ansal Tanushree",1500,41.5,2 Baths,3 BHK
Vasundhara,1400,88,2 Baths,3 BHK
Vasundhara sector 13,2150,138,3 Baths,4 BHK
NH 91,2700,240,4 Baths,4 BHK
Vasundhara Sector 1 ,956,39.88,2 Baths,2 BHK
 Vasundhara Sector 12 ,1456,82.1,2 Baths,3 BHK
Vasundhara sector 10,1400,54.9,2 Baths,3 BHK
 Vaishali Sector 4 ,1550,83,2 Baths,3 BHK
Niti khand,1950,72,4 Baths,4 BHK
Vasundhara Sector 5,1450,72,2 Baths,3 BHK
Vasundhara Sector 5,1200,56,2 Baths,3 BHK
Vasundhara Sector 14,1875,92.51,3 Baths,4 BHK
Vasundhara,2600,180,3 Baths,4 BHK
Vasundhara,1326,56.1,2 Baths,3 BHK
 Mahagunpuram,1450,40,2 Baths,3 BHK
Vasundhara,1600,81,3 Baths,3 BHK
Shakti Khand 2,1400,46.5,2 Baths,3 BHK
Niti khand,1500,65,2 Baths,3 BHK
Vasundhara,3600,260,5 Baths,5 BHK
 Wave City ,4500,250,4 Baths,4 BHK
vaishali sector 5,1000,40,2 Baths,2 BHK
vasundhara sector 3,1680,91.51,3 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1200,65,2 Baths,3 BHK
Vasundhara sector 13,1675,115,3 Baths,4 BHK
Vasundhara Sector 15,1600,80,3 Baths,3 BHK
Vasundhara,2200,142,3 Baths,4 BHK
"Vaishali, Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",5500,500,9 Baths,9 BHK
Vaishali sector 4,1500,90,3 Baths,3 BHK
Indirapuram,2368,220,4 Baths,4 BHK
Vasundhara,1700,105,2 Baths,3 BHK
Vasundhara,2500,220,4 Baths,4 BHK
Vasundhara,1450,84,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",970,55,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",800,28.9,2 Baths,2 BHK
"Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",1015,45,2 Baths,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1350,60,2 Baths,3 BHK
Pratap Vihar,950,42,2 Baths,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",404,10.61,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",3768,300,5 Baths,5 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",580,16.5,1 Bath,2 BHK
"Nh 91, Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",404,10.75,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",3768,300,5 Baths,5 BHK
Pratap Vihar,725,37,2 Baths,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",535,14.62,1 Bath,2 BHK
"Nh91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",535,14.6,1 Bath,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",715,21,1 Bath,3 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",530,14.52,1 Bath,2 BHK
"Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1845,135,3 Baths,4 BHK
"Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",900,55,2 Baths,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",389,11.5,1 Bath,1 BHK
"Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",1700,127,3 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1100,47,2 Baths,3 BHK
 Wave City ,434,12.71,1 Bath,1 BHK
Vasundhara Sector 14,3800,225,4 Baths,5 BHK
Vaishali sector 1,1750,130,3 Baths,4 BHK
Vaishali Sector 2A,1800,145,3 Baths,4 BHK
Vaishali sector 1,1800,110,2 Baths,6 BHK
Vaishali Sector 4,1000,52,2 Baths,2 BHK
Vaishali Sector 3,1700,135,3 Baths,4 BHK
 Vaishali Sector 4 ,900,52,2 Baths,2 BHK
Vaishali sector 1,1750,129,3 Baths,4 BHK
Vasundhara Sector 14,3800,224,4 Baths,5 BHK
vaishali sector 5,1380,79.7,2 Baths,3 BHK
Vaishali sector 4,1020,38.99,2 Baths,2 BHK
Gyan Khand,980,28.99,2 Baths,2 BHK
Vasundhara sector 15,1600,64.99,3 Baths,3 BHK
Vaishali Sector 3,1950,112,3 Baths,4 BHK
"Ghaziabad, Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1800,112,3 Baths,3 BHK
Niti khand,1550,49.99,3 Baths,3 BHK
"Ghaziabad, Vasundhara, Vasundhara, Ghaziabad, Ghaziabad District, Ghaziabad District",1500,100,3 Baths,3 BHK
Niti khand,2050,107,3 Baths,4 BHK
Shakti Khand 2,1250,46.99,2 Baths,3 BHK
Niti khand,1075,39.99,2 Baths,2 BHK
 Vaishali Sector 4 ,1380,67.99,2 Baths,3 BHK
"Ghaziabad, Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",2300,230,4 Baths,4 BHK
Niti khand,2200,140,4 Baths,4 BHK
Vasundhara sector 1,1020,26.95,2 Baths,2 BHK
Vasundhara sector 1,950,27.59,2 Baths,2 BHK
Vasundhara sector 5,1200,37.99,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",4000,325,5 Baths,5 BHK
Vasundhara sector 10,620,17.99,1 Bath,1 BHK
"Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",486,16.85,1 Bath,1 BHK
"Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",970,34.25,2 Baths,2 BHK
"Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",600,19.5,1 Bath,1 BHK
Indirapuram,1800,75,2 Baths,3 BHK
Indirapuram,1800,64.5,2 Baths,3 BHK
"Vaishali, Vaishali, Vaishali, Ghaziabad, Ghaziabad District, Ghaziabad District",1100,44.5,2 Baths,2 BHK
Gyan Khand 3,1204,85.5,3 Baths,3 BHK
Vasundhara,2280,118,3 Baths,4 BHK
Niti khand,1320,52.3,2 Baths,3 BHK
"Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",700,21,1 Bath,2 BHK
Vasundhara,1360,52.3,3 Baths,3 BHK
Vasundhara Sector 1 ,1200,54.1,2 Baths,3 BHK
Indirapuram,1200,48,2 Baths,2 BHK
Vasundhara,1386,53.2,2 Baths,3 BHK
Gyan Khand 3,1204,85.25,3 Baths,3 BHK
Vashundhara Sector-5,1855,130,3 Baths,4 BHK
Vasundhara,2000,85,3 Baths,3 BHK
vaishali sector 5,600,26,1 Bath,1 BHK
Vasundhara,1278,57.6,2 Baths,3 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1300,72,2 Baths,3 BHK
"Lal Kua, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",405,11.5,1 Bath,1 BHK
"Nh 91, Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",535,14.6,1 Bath,2 BHK
Vashundhara Sector-5,2400,130,4 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1300,61.5,2 Baths,3 BHK
vasundhara sector 3,600,20,1 Bath,1 BHK
Gyan Khand 3,1204,85,3 Baths,3 BHK
 Wave City ,525,15.77,1 Bath,2 BHK
Vasundhara ,1700,87.1,3 Baths,4 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",1300,71.5,2 Baths,3 BHK
vasundhara sector 3,900,40,2 Baths,2 BHK
Bamheta,525,15.57,1 Bath,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",402,10.6,1 Bath,1 BHK
Crossing Republik,525,1576,1 Bath,2 BHK
NH-24,585,16.25,1 Bath,2 BHK
"Nh 91, Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",715,21,1 Bath,3 BHK
 Wave City ,434,12.72,1 Bath,1 BHK
 Wave City ,525,15.72,1 Bath,2 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",900,45,2 Baths,2 BHK
"Lal Kuan, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",390,11.5,1 Bath,1 BHK
"Nh 91, Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",404,10.6,1 Bath,1 BHK
"Indirapuram, Indirapuram, Ghaziabad, Ghaziabad District, Ghaziabad District",900,44.5,2 Baths,2 BHK
"Nh 91, Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",405,10.6,1 Bath,1 BHK
 Wave City ,525,15.75,1 Bath,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",515,15,1 Bath,2 BHK
"Nh 91, Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",525,15.73,1 Bath,2 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",985,29.69,1 Bath,3 BHK
 Wave City ,990,29.6,2 Baths,3 BHK
 Wave City ,434,12.73,1 Bath,1 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",405,10.61,1 Bath,1 BHK
"Chhapraula, Chhapraula, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",434,12.73,1 Bath,1 BHK
"Nh 91, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",404,10.51,1 Bath,1 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",434,12.72,1 Bath,1 BHK
"Nh 91, Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",401,10.62,1 Bath,1 BHK
Mansarovar Park Lal Kuan Ghaziabad,580,22.85,1 Bath,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,461,17.95,1 Bath,1 BHK
Om Sai Enclave Chipiyana Ghaziabad,458,19.44,2 Baths,2 BHK
"Chipiyana, Near Lal Kuan Ghaziabad",750,24,1 Bath,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,456,19,1 Bath,1 BHK
Mansarovar Park Lal Kuan Ghaziabad,722,26.8,1 Bath,3 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",550,23,1 Bath,1 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",720,28,2 Baths,2 BHK
"Rajpuram , chipyana ",544,21.65,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",630,26,2 Baths,2 BHK
"Rajpuram , chipyana ",542,18.6,1 Bath,2 BHK
"Chipiyana, Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",622,24.55,2 Baths,2 BHK
"Rajpuram , chipyana ",908,32.98,2 Baths,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,520,20.05,1 Bath,1 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",700,28,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",550,21,1 Bath,1 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",623,23,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",800,28,3 Baths,3 BHK
"Rajpuram , chipyana ",615,24,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",650,23,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",600,25,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",760,28,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",540,23.2,1 Bath,2 BHK
"Rajpuram , chipyana ",620,23,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",520,23,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",510,21,2 Baths,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,452,18.45,1 Bath,1 BHK
Sai Garden Chipiyana Ghaziabad,909,33,1 Bath,2 BHK
Sai Garden Chipiyana Ghaziabad,916,34.68,2 Baths,2 BHK
Sai Garden Chipiyana Ghaziabad,914,34.3,2 Baths,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,547,21.45,1 Bath,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,936,33.29,2 Baths,2 BHK
Lal Kuan ,631,23.5,1 Bath,2 BHK
Sai Garden Chipiyana Ghaziabad,915,33.2,2 Baths,2 BHK
Sai Garden Chipiyana Ghaziabad,909,33.28,2 Baths,2 BHK
Raj Compound Lal Kuan Ghaziabad,724,37.2,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",911,32.95,1 Bath,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",920,29,2 Baths,2 BHK
"Rajpuram , chipyana ",552,20.02,1 Bath,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,901,33.48,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",650,25,2 Baths,2 BHK
"Rajpuram , chipyana ",548,19.52,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",800,31,2 Baths,2 BHK
Rajcompund Gt Road Lal Kuan Ghaziabad,728,26.64,2 Baths,2 BHK
"Lal Kuan, Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",900,29,2 Baths,2 BHK
"Rajpuram , chipyana ",541,21.8,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",891,33.99,2 Baths,2 BHK
Raj Compound Lal Kuan Ghaziabad,720,36.9,1 Bath,2 BHK
"Rajpuram , chipyana ",632,23.5,1 Bath,2 BHK
"Chipiyana, Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",780,27,1 Bath,2 BHK
Lal Kuan Ghaziabad Near Relience Petrol Pump,914,35.7,2 Baths,2 BHK
Rajcompund Gt Road Lal Kuan Ghaziabad,722,36.05,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",500,21.09,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",625,23.88,1 Bath,1 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",750,28,1 Bath,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,915,32.94,2 Baths,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,907,33.94,2 Baths,2 BHK
Rajcompund Gt Road Lal Kuan Ghaziabad,726,36.88,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",545,20.6,1 Bath,1 BHK
"Lal Kuan, Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",1600,45,2 Baths,3 BHK
"Rajpuram , chipyana ",542,21.6,1 Bath,2 BHK
Om Sai Enclave Chipiyana Ghaziabad,458,18,1 Bath,1 BHK
Mansarovar Park Lal Kuan Ghaziabad,722,26.8,1 Bath,2 BHK
Chipiyana,907,34.55,2 Baths,2 BHK
Lal Kuan Ghaziabad - Facing East,638,23.5,1 Bath,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,632,25.38,1 Bath,2 BHK
Lal Kuan ,631,24,1 Bath,1 BHK
Om Sai Enclave Chipiyana Ghaziabad,541,22,1 Bath,1 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",550,21,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",500,21,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",632,23.78,1 Bath,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",600,25,1 Bath,2 BHK
Mansarovar Park Lal Kuan Ghaziabad,814,30,1 Bath,2 BHK
"Rajpuram , chipyana ",636,23.92,1 Bath,2 BHK
"Lal Kuan, Lal Kuan, Ghaziabad, Ghaziabad District, Ghaziabad District",690,22.99,2 Baths,2 BHK
"Chipiyana Buzurg, Chipiyana Buzurg, Ghaziabad, Gautam Buddh Nagar District, Gautam Buddh Nagar District",850,28.5,2 Baths,2 BHK
